,Order_ID,Order_date,Quantity,Price,Customer_ID
0,30,2018-01-01,4,2.8000000000000007,20097
1,32,2018-01-01,3,2.2,20146
2,34,2018-01-01,4,4.600000000000002,20037
3,36,2018-01-01,3,2.900000000000001,20233
4,38,2018-01-01,4,2.0,20020
5,40,2018-01-02,5,6.600000000000004,20266
6,42,2018-01-02,4,4.100000000000001,20159
7,44,2018-01-03,2,5.600000000000003,20018
8,46,2018-01-03,3,3.8000000000000016,20291
9,48,2018-01-03,3,4.700000000000003,20201
10,50,2018-01-04,5,2.900000000000001,20295
11,52,2018-01-04,5,2.0,20005
12,54,2018-01-04,5,2.7000000000000006,20264
13,56,2018-01-04,3,3.5000000000000013,20234
14,58,2018-01-04,3,5.600000000000003,20189
15,60,2018-01-04,2,5.5000000000000036,20001
16,62,2018-01-05,4,4.8000000000000025,20145
17,64,2018-01-05,3,3.000000000000001,20105
18,66,2018-01-05,5,4.200000000000002,20245
19,68,2018-01-06,3,5.200000000000003,20016
20,70,2018-01-06,1,3.8000000000000016,20206
21,72,2018-01-06,4,2.2,20113
22,74,2018-01-06,2,3.200000000000001,20089
23,76,2018-01-06,5,5.900000000000004,20062
24,78,2018-01-06,5,3.7000000000000015,20082
25,80,2018-01-06,4,5.800000000000003,20027
26,82,2018-01-07,1,6.800000000000004,20027
27,84,2018-01-07,5,5.200000000000003,20146
28,86,2018-01-07,5,6.300000000000004,20200
29,88,2018-01-08,5,2.2,20077
30,90,2018-01-08,4,6.5000000000000036,20281
31,92,2018-01-08,2,5.100000000000003,20066
32,94,2018-01-08,3,2.5000000000000004,20190
33,96,2018-01-09,1,2.2,20026
34,98,2018-01-09,4,6.700000000000005,20069
35,100,2018-01-09,4,6.200000000000004,20015
36,102,2018-01-09,5,3.200000000000001,20149
37,104,2018-01-09,2,6.900000000000004,20051
38,106,2018-01-09,4,4.000000000000002,20163
39,108,2018-01-09,2,6.0000000000000036,20285
40,110,2018-01-09,1,3.9000000000000017,20145
41,112,2018-01-09,4,6.300000000000004,20016
